parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
gene_symbol,Mgst2
analysis_id,1as64t9cx9c49sp
gene_accession_id,MGI:2448481
mouse_strain,C57BL
pvalue,0.7872748
parameter_id,MGP_PBI_019_001
