gene_symbol,Gpbp1l1
pvalue,0.7712443
parameter_name,% Pre-pulse inhibition - PPI2
analysis_id,5m7ag1230e2dw81
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
parameter_id,IMPC_ACS_034_001
