analysis_id,2438703f36960xs
gene_accession_id,MGI:2446186
parameter_id,MGP_MLN_010_001
mouse_life_stage,Late adult
gene_symbol,Lpgat1
mouse_strain,C57BL
pvalue,0.3176737
parameter_name,Resting Treg cells - % of Treg
