analysis_id,ivj2w88afx1qpyy
parameter_name,Forebrain
pvalue,0.9721203
gene_accession_id,MGI:1918345
parameter_id,IMPC_GEL_028_001
gene_symbol,Kif24
mouse_strain,C57BL
mouse_life_stage,Early adult
