parameter_id,TCPLA_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
analysis_id,3zn9901121926b6
gene_symbol,Dnajc5b
pvalue,0.07067979
gene_accession_id,MGI:1913576
mouse_strain,C57BL
