gene_symbol,Lurap1
gene_accession_id,MGI:1915325
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
pvalue,0.8009501
mouse_life_stage,Early adult
parameter_id,MGP_CSD_025_001
analysis_id,xuqpkto3iwbw90v
