analysis_id,im786xb07a60q3h
gene_symbol,Golm2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2443129
parameter_id,MGP_PBI_035_001
parameter_name,IgD+ mature B cell number
pvalue,0.4870163
