analysis_id,tq0sjtc2ny4e637
parameter_name,Startle response
mouse_strain,129SV
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Early adult
pvalue,0.7201217
