parameter_name,Bone Area
gene_accession_id,MGI:2674093
mouse_strain,C57BL
pvalue,0.2164131
gene_symbol,Psd4
parameter_id,IMPC_DXA_010_001
mouse_life_stage,Early adult
analysis_id,88l70r8y26a3u49
