analysis_id,xx8j106k79n6086
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_id,IMPC_CBC_006_001
parameter_name,Total protein
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
pvalue,0.07728831
