parameter_name,Thyroxine
gene_symbol,Npbwr1
parameter_id,IMPC_CBC_053_001
pvalue,0.3120076
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:891989
analysis_id,63v1fn69y3xorp7
