analysis_id,bc0oj3iwo2mm37n
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:1918345
parameter_name,Fat/Body weight
pvalue,0.2425903
gene_symbol,Kif24
mouse_strain,C57BL
