analysis_id,7008l600i1nll0r
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
parameter_id,MGP_IMM_014_001
pvalue,0.7935101
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Cds2
mouse_strain,C57BL
