parameter_name,Periphery permanence time
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
mouse_life_stage,Early adult
parameter_id,JAX_OFD_012_001
pvalue,0.1485871
mouse_strain,C57BL
analysis_id,cid512c207x38al
