gene_symbol,Inpp1
pvalue,0.4495589
parameter_id,ESLIM_005_001_005
mouse_life_stage,Early adult
parameter_name,Bone Mineral Content
analysis_id,bk0yy30wxi73r33
gene_accession_id,MGI:104848
mouse_strain,129SV
