parameter_name,Neural tube closure
pvalue,0.2039848
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
analysis_id,70b506u26ixww0r
gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
