analysis_id,1x5k0up82rtgrlr
pvalue,0.5261445
parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
parameter_name,Pale yolk sac
gene_symbol,Secisbp2l
mouse_strain,C57BL
