analysis_id,zjv1nd74906s5e0
parameter_name,Calcium
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
pvalue,0.3166944
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
gene_symbol,Bach2
