analysis_id,ta14wwvem38271x
parameter_id,IMPC_HEM_006_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slc28a2
pvalue,0.8789578
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:1913105
