analysis_id,y027yjtbh836lxg
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
pvalue,0.1854858
parameter_name,Sodium
mouse_strain,C57BL
