parameter_name,Time mobile dark side
gene_accession_id,MGI:1341628
parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
pvalue,0.1413673
analysis_id,0hz9j93svg9v21b
gene_symbol,Atrn
mouse_life_stage,Early adult
