parameter_name,Tibia
pvalue,0.6734464
gene_symbol,Ncaph
mouse_strain,C57BL
gene_accession_id,MGI:2444777
parameter_id,IMPC_XRY_025_001
mouse_life_stage,Early adult
analysis_id,40ww969bxypaoe3
