parameter_name,Right kidney weight
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
analysis_id,80ifzvm8l263147
pvalue,0.4182209
mouse_strain,C57BL
gene_symbol,Morn5
parameter_id,IMPC_OWT_004_001
