parameter_name,RR
pvalue,0.3633839
gene_symbol,Exd1
mouse_strain,C57BL
analysis_id,nz1827o6m4sp361
gene_accession_id,MGI:3045306
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
