parameter_name,Ly6Clow monocyte percentage
analysis_id,jub796cgypoy17g
gene_symbol,Cds2
mouse_strain,C57BL
pvalue,0.5729711
parameter_id,MGP_PBI_018_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
