gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
analysis_id,b380785nl1a7482
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Tibia
pvalue,0.2362441
parameter_id,IMPC_XRY_025_001
