gene_symbol,Snap23
gene_accession_id,MGI:109356
pvalue,0.3781636
analysis_id,6g1o20243ai9ztx
parameter_id,M-G-P_020_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Body Weight
