parameter_id,HMGULA_CBC_015_001
analysis_id,8z1780240byy1s7
gene_symbol,Cd52
mouse_strain,C57BL
gene_accession_id,MGI:1346088
parameter_name,Total cholesterol
mouse_life_stage,Early adult
pvalue,0.361208
