analysis_id,a05995976ud8lz7
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
parameter_id,GMC_906_001_005
pvalue,0.8090471
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_name,Potassium
