parameter_name,Embryo Size
mouse_life_stage,Early adult
gene_accession_id,MGI:1920026
mouse_strain,C59BL
pvalue,0.2575354
gene_symbol,Sass6
parameter_id,IMPC_GEL_032_001
analysis_id,wp55y44c4uj4u12
