parameter_name,Vibrissae - appearance
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
analysis_id,n37ss62s0614504
pvalue,0.1035938
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HMGULA_DYS_024_001
