analysis_id,r385076pcxa180q
mouse_strain,C57BL
gene_symbol,Dnaaf9
parameter_name,RR
gene_accession_id,MGI:1923029
parameter_id,IMPC_ECG_004_001
pvalue,0.1729854
mouse_life_stage,Early adult
