analysis_id,98eqj58w3l909ln
parameter_name,Effector gd T cells - % of gd T cells
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Bpifa3
parameter_id,MGP_IMM_020_001
pvalue,0.3342475
