mouse_life_stage,Middle aged adult
pvalue,0.462688
gene_symbol,Snap23
mouse_strain,C57BL
parameter_id,MGP_MLN_006_001
analysis_id,g2n3mpah84ub1qc
gene_accession_id,MGI:109356
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
