analysis_id,x7p17gdv71f2v39
pvalue,0.7368276
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
parameter_id,MGP_BMI_014_001
gene_symbol,Eprs1
gene_accession_id,MGI:97838
