parameter_name,Eye
pvalue,0.5171691
mouse_life_stage,Early adult
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_strain,C57BL
parameter_id,M-G-P_013_001_001
analysis_id,y5k1g1uuz30ve1f
