analysis_id,pbx6i1sz781gloi
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1671189
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:105073
gene_symbol,Tnni1
parameter_id,MGP_MLN_006_001
