gene_symbol,Tnni1
mouse_strain,C57BL
parameter_name,Eosinophil number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_040_001
gene_accession_id,MGI:105073
analysis_id,56ta7d3hszzc78b
pvalue,0.3292325
