parameter_name,Limb morphology
analysis_id,0dotuf16804mei2
gene_symbol,Cd52
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
parameter_id,IMPC_GEP_084_001
pvalue,0.3396407
mouse_strain,C57BL
