gene_symbol,Fam163a
parameter_id,HMGULA_DYS_024_001
analysis_id,0w3625851i9xd27
parameter_name,Vibrissae - appearance
mouse_life_stage,Early adult
pvalue,0.1842039
mouse_strain,C57BL
gene_accession_id,MGI:3618859
