analysis_id,901xxudgb5z20gp
mouse_strain,C57BL
gene_accession_id,MGI:894679
parameter_id,UCDLA_EYE_017_001
pvalue,0.4237784
mouse_life_stage,Early adult
gene_symbol,Bach2
parameter_name,Lens Opacity
