analysis_id,yk379a6hws69873
gene_symbol,AU040320
mouse_life_stage,Late adult
parameter_name,Activity (body position)
gene_accession_id,MGI:2140475
pvalue,0.1624489
parameter_id,IMPC_CSD_029_001
mouse_strain,C57BL
