gene_symbol,Atf3
mouse_life_stage,Early adult
pvalue,0.3355687
parameter_id,IMPC_EYE_056_001
analysis_id,7b83292k1y7w00c
parameter_name,Mean left eye lens density
mouse_strain,C57BL
gene_accession_id,MGI:109384
