parameter_name,Percent time in dark
parameter_id,JAX_LDT_008_001
gene_symbol,Tbl1xr1
mouse_strain,C57BL
analysis_id,c8z68578259q07k
pvalue,0.6601646
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
