analysis_id,zx1k7dy57h3e42g
mouse_life_stage,Early adult
parameter_name,Tibia length
mouse_strain,C57BL
gene_accession_id,MGI:1924360
parameter_id,IMPC_XRY_033_001
pvalue,0.7809262
gene_symbol,Gpbp1l1
