parameter_name,Hindlimbs - shape
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
gene_symbol,Tubb4b
mouse_strain,C57BL
pvalue,0.4172577
parameter_id,JAXLA_CSD_021_001
analysis_id,123616bd8d187fi
