analysis_id,s335252p05330e5
gene_symbol,Ncaph
mouse_life_stage,Early adult
pvalue,0.1388375
gene_accession_id,MGI:2444777
parameter_id,MGP_IMM_131_001
mouse_strain,C57BL
parameter_name,CD103+ CD11b-low cDC - % of CD45+
