gene_symbol,Hspa5
parameter_id,MGP_IMM_131_001
mouse_strain,C57BL
pvalue,0.1958744
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
analysis_id,dn109640pm9k8p5
