gene_symbol,Car13
analysis_id,gl6m75rt3q46g83
parameter_name,Mean platelet volume
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
pvalue,0.09935291
