analysis_id,l4yug7f93kw2y7e
parameter_id,JAX_OFD_021_001
gene_symbol,Sdcbp2
pvalue,0.4722057
parameter_name,Number of rears - total
mouse_strain,C57BL
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
