parameter_name,CV
gene_accession_id,MGI:1921262
analysis_id,8y089x40w6y6681
gene_symbol,Rap2b
pvalue,0.4243449
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
mouse_life_stage,Early adult
