gene_symbol,Rab13
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_063_001
analysis_id,q21op7v98dm82d1
mouse_strain,C57BL
parameter_name,B Cells
gene_accession_id,MGI:1927232
pvalue,0.170873
