gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
analysis_id,77856b3kx621i73
parameter_id,ESLIM_011_001_007
mouse_life_stage,Early adult
parameter_name,PP1 + pulse startle magnitude
pvalue,0.4747001
mouse_strain,C57BL
