analysis_id,2536j3s9696oba3
gene_symbol,Rab17
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_008_001
pvalue,0.1713386
mouse_strain,C57BL
parameter_name,Platelet count
