parameter_name,Percent time in light
parameter_id,IMPC_LDT_008_001
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
pvalue,0.863326
analysis_id,681025bxifd116n
