gene_symbol,Snrpb2
parameter_id,MGP_IMM_026_001
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
pvalue,0.2876748
mouse_strain,C57BL
analysis_id,h5x44cm29410wba
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
