parameter_name,Lean mass
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
pvalue,0.8116721
gene_symbol,Bcs1l
analysis_id,7cou094u4s74q3m
