analysis_id,0ai25r13pdaaen9
parameter_name,eye size
mouse_life_stage,E12.5
parameter_id,ESLIM_001_001_117
mouse_strain,C57BL
pvalue,0.1405841
gene_accession_id,MGI:99501
gene_symbol,Fgb
