parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.1372566
gene_symbol,Mms22l
parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
analysis_id,p40bra322043117
