analysis_id,e380w2qxxa9t26p
gene_accession_id,MGI:99605
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1452796
parameter_name,Tremor
gene_symbol,Cntfr
