analysis_id,y48lo2t80gg5315
pvalue,0.3294752
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Zmynd19
parameter_id,MGP_MLN_074_001
gene_accession_id,MGI:1914437
