gene_symbol,Atrn
parameter_name,Persistence of hyaloid vascular system
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,5h55553os0f0384
parameter_id,IMPC_EYE_027_001
gene_accession_id,MGI:1341628
pvalue,0.7074746
