analysis_id,z9z8800lv642932
gene_symbol,Secisbp2l
parameter_id,MGP_IMM_112_001
pvalue,0.2996934
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
parameter_name,Follicular B cells - % of CD45+
mouse_strain,C57BL
