analysis_id,9cujy19e0436t07
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
gene_symbol,Nanp
pvalue,0.07338354
parameter_name,18kHz-evoked ABR Threshold
